Sentences,Sentiment Value,NLTK Prediction,Watson Prediction
So there is no way for me to plug it in here in the US unless I go by a converter.,0,-0.3535,-0.397432
"Good case, Excellent value.",1,0.8402,0.992255
Great for the jawbone.,1,0.6249,0.925716
Tied to charger for conversations lasting more than 45 minutes.MAJOR PROBLEMS!!,0,-0.6145,-0.893668
The mic is great.,1,0.6249,0.974361
I have to jiggle the plug to get it to line up right to get decent volume.,0,0,-0.530191
"If you have several dozen or several hundred contacts, then imagine the fun of sending each of them one by one.",0,0.5106,0.573681
If you are Razr owner...you must have this!,1,0,0
"Needless to say, I wasted my money.",0,-0.4939,-0.974089
What a waste of money and time!.,0,-0.4753,-0.91807
And the sound quality is great.,1,0.6249,0.980338
He was very impressed when going from the original battery to the extended battery.,1,0.6901,0
If the two were seperated by a mere 5+ ft I started to notice excessive static and garbled sound from the headset.,0,0,-0.900136
Very good quality though,1,0.4927,0.990998
"The design is very odd, as the ear ""clip"" is not very comfortable at all.",0,-0.6717,-0.93297
Highly recommend for any one who has a blue tooth phone.,1,0.4201,0.969952
I advise EVERYONE DO NOT BE FOOLED!,0,0.4622,-0.872932
So Far So Good!.,1,0,0.957904
Works great!.,1,0,0.969876
It clicks into place in a way that makes you wonder how long that mechanism would last.,0,0,0.638304
"I went on Motorola's website and followed all directions, but could not get it to pair again.",0,0,-0.281247
I bought this to use with my Kindle Fire and absolutely loved it!,1,0.474,0.984528
The commercials are the most misleading.,0,-0.4576,-0.909992
I have yet to run this new battery below two bars and that's three days without charging.,1,0,-0.52655
I bought it for my mother and she had a problem with the battery.,0,-0.4019,-2
Great Pocket PC / phone combination.,1,0.6249,0.914698
I've owned this phone for 7 months now and can say that it's the best mobile phone I've had.,1,0.6369,0.895176
I didn't think that the instructions provided were helpful to me.,0,0.4215,-0.384211
People couldnt hear me talk and I had to pull out the earphone and talk on the phone.,0,0,-0.872159
Doesn't hold charge.,0,0,-0.922369
"This is a simple little phone to use, but the breakage is unacceptible.",0,0,-0.397558
This product is ideal for people like me whose ears are very sensitive.,1,0.7096,0.925366
It is unusable in a moving car at freeway speed.,0,0.0516,-0.596974
I have two more years left in this contract and I hate this phone.,0,-0.5719,-0.948261
Car charger as well as AC charger are included to make sure you never run out of juice.Highy recommended,1,0.6369,-0.608329
You need at least 3 mins to get to your phone book from the time you first turn on the phone.Battery life is short.,0,0,-0.910869
It has kept up very well.,1,0.3384,0.887066
Poor Talk Time Performance.,0,-0.4767,-0.956133
The case is great and works fine with the 680.,1,0.7096,0.925652
worthless product.,0,-0.4404,-0.947064
"It has a great camera thats 2MP, and the pics are nice and clear with great picture quality.",1,0.9274,0.990713
I was not impressed by this product.,0,-0.3724,-0.941334
Nice headset priced right.,1,0.4215,0.944557
I only hear garbage for audio.,0,0,-0.92073
Excellent bluetooth headset.,1,0.5719,0.807413
It has all the features I want,1,0.0772,0.607526
Who in their right mind is gonna buy this battery?.,0,0,0
AFTER ARGUING WITH VERIZON REGARDING THE DROPPED CALLS WE RETURNED THE PHONES AFTER TWO DAYS.,0,-0.4588,-0.958147
This case seems well made.,1,0.2732,0.759515
Disappointed with battery.,0,-0.4767,-0.99071
Not loud enough and doesn't turn on like it should.,0,-0.2755,-0.790212
good protection and does not make phone too bulky.,1,0.4404,-0.274274
